a: ä°
abidingly: 'bï°dińlë
Abidjan: abijo°n
Abigail: a°b'gäl
Abilene: a°bilën
abilities: 'bi°l'tëz
ability: 'bi°litë
Abingdon: a°bińd'n
abiogenesis: äbïöje°nisis
abiogenetic: ä°bïöj'ne°tik
abiogenist: äbï°áj'nist
abiosis: äbïö°sis
abiotic: äbïá°tik
abirritant: abi°rit'nt
abirritate: abi°rität
abject: a°bjekt
abjection: 'bje°kś'n
abjectly: abje°ktlë
abjunction: abju°ńkś'n
abjuration: abjúrä°ś'n
abjure: abjú°r
Abkhazian: abka°zë'n
Abkhazians: abka°zë'nz
ablate: ablä°t
ablation: ablä°ś'n
ablatival: abl'tï°v'l
ablative: ablä°tiv
ablaut: á°blaút
ablaze: 'blä°z
able: ä°b'l
abled: ä°b'ld
ablegate: a°bl'gät
ablepsia: 'ble°psë'
abler: ä°bl'r
ables: ä°b'lz
ablest: ä°bl'st
ablins: ä°blinz
abloom: 'blü°m
abluent: a°blü'nt
ablush: 'blu°ś
ablution: ablü°ś'n
ably: ä°blë
abmho: a°bmö
abnegate: a°bn'gät
abnegation: abnigä°ś'n
Abner: a°bn'r
abnormal: abnó°rm'l
abnormalities: abnórma°l'tëz
abnormality: abnórma°litë
abnormally: abnó°rm'lë
abnormity: abnó°rmitë
Abo: o°bö
aboard: 'bó°rd
abode: 'bö°d
abohm: abö°m
abolish: 'bo°liś
abolished: 'bo°liśt
abolishes: 'bo°liśiz
abolishing: 'bo°liśiń
abolition: ab'li°ś'n
abolitionism: ab'li°ś'niz'm
abolitionist: ab'li°ś'nist
abolitionists: ab'li°ś'n'sts
abolla: 'bá°l'
abollae: 'bá°lë
abomasum: ab'mä°s'm
abomasus: ab'mä°s's
abominable: 'bo°m'n'b'l
abominableness: 'bá°m'n'b'lnes
abominate: 'bá°m'nät
abomination: 'bom'nä°ś'n
aboon: 'bü°n
aboral: abö°r'l
aboriginal: ab'ri°j'n'l
aboriginally: ab'ri°j'n'lë
aborigine: ab'ri°j'në
aborigines: ab'ri°j'nëz
aborning: 'bó°rniń
abort: 'bó°rt
aborted: 'bó°rtid
aborticide: 'bó°rtisïd
abortifacient: 'bórt'fä°ś'nt
abortifacients: 'bórt'fä°ś'nts
aborting: 'bó°rtiń
abortion: 'bó°rś'n
abortionist: 'bó°rś'nist
abortionists: 'bó°rś'nists
abortions: 'bó°rś'nz
abortive: 'bó°rtiv
abortively: 'bó°rtivlë
aborts: 'bó°rts
abortus: 'bó°rt's
abought: 'bo°t
aboulia: 'bü°lë'
abound: 'baú°nd
abounded: 'baú°ndid
abounding: 'baú°ndiń
abounds: 'baú°ndz
about: 'baú°t
above: 'bu°v
aboveboard: 'bu°vbórd
aboveground: 'bu°vgraúnd
abracadabra: abr'k'da°br'
abradant: 'brä°d'nt
abrade: 'brä°d
Abraham: ä°br'ham
Abram: 'bra°m
Abrams: ä°br'mz
abranchial: äbra°ńkë'l
abranchiate: äbra°ńkëit
abrasion: 'brä°ź'n
abrasions: 'brä°ź'nz
abrasive: 'brä°siv
abrasives: 'brä°sivz
abraxas: 'bra°ks's
abrazo: ábrá°þo
abreact: abrëa°kt
abreaction: abrëa°kś'n
abreast: 'bre°st
abri: abrë°
abridge: 'bri°j
abridged: 'bri°jd
abridgement:> abridgment
abridges: 'bri°j'z
abridging: 'bri°jiń
abridgment: 'bri°jm'nt
abris: abrë°z
abroach: 'brö°ć
abroad: 'bró°d
abrogable: a°br'g'b'l
abrogate: a°br'gät
abrogated: a°br'gätid
abrogating: a°br'gätiń
abrogation: abr'gä°ś'n
abrupt: 'bru°pt
abruption: 'bru°pś'n
abruptly: 'bru°ptlë
abruptness: 'bru°ptn's
Abruzzi: ábrü°ttsë
ABS: a°bz
Absalom: a°bs'l'm
abscess: a°bses
abscind: absi°nd
abscise: absï°z
abscissa: absi°s'
abscission: absi°ź'n
abscond: absko°nd
absconded: absko°nd'd
absconding: absko°ndiń
absconds: absko°ndz
abseil: á°pzïl
absence: a°bs'ns
absences: a°bs'nsiz
absent/aj: a°bs'nt; v: abse°nt
absentee: abs'ntë°
absenteeism: abs'ntë°iz'm
absentees: abs'ntë°z
absently: a°bs'ntlë
absentminded: abs'ntmï°nd'd
absinth:> absinthe
absinthe: a°bsinþ
absinthism: a°bsinþiz'm
absolute: a°bs'lüt
absolutely: abs'lü°tlë
absoluteness: a°bs'lütn's
absolutes: a°bs'lüts
absolution: abs'lü°ś'n
absolutism: a°bs'lütiz'm
absolutist: absilü°tist
absolutory: absá°ly'törë
absolve: abzo°lv
absolved: abzo°lvd
absolves: abzo°lvz
absolving: abzo°lviń
absonant: a°bs'n'nt
absorb: absó°rb
absorbance: absó°rb'ns
absorbed: absó°rbd
absorbedly: absó°rbidlë
absorbedness: absó°rbdnes
absorbefacient: absórb'fä°ś'nt
absorbency: 'bzó°rb'nsë
absorbent: absó°rb'nt
absorber: absó°rb'r
absorbers: 'bzó°rb'rz
absorbing: absó°rbiń
absorbs: 'bzó°rbz
absorptance: absó°rpt'ns
absorptiometer: absórpśëá°mit'r
absorption: absó°rpś'n
absorptivity: a°bsórpti°vitë
abstain: abstä°n
abstained: abstä°nd
abstainer: 'bstä°n'r
abstaining: abstä°niń
abstemious: abstë°më's
abstemiously: abstë°më'slë
abstemiousness: abstë°më'snes
abstention: abste°nć'n
abstentions: abste°nć'nz
absterge: absté°rj
abstergent: absté°rj'nt
abstersion: absté°rś'n
abstersive: absté°rsiv
abstinence: a°bst'n'ns
abstinency: a°bstin'nsë
abstinent: a°bstin'nt
abstract/aj: a°bstrakt; n: a°bstrakt; v: abstra°kt
abstracted: a°bstraktid
abstractedly: abstra°ktidlë
abstractedness: abstra°ktidnes
abstraction: abstra°kś'n
abstractionism: abstra°kś'niz'm
abstractionist: abstra°kś'nist
abstractions: abstra°kś'nz
abstractive: abstra°ktiv
abstractively: abstra°ktivlë
abstractly: a°bstraktlë
abstractor: 'bstra°kt'r
abstracts: a°bstrakts
abstriction: abstri°kś'n
abstruse: abstrü°s
abstrusely: abstrü°slë
abstruseness: abstrü°snes
absurd: absé°rd
absurdist: 'bsé°rdist
absurdities: 'bsé°rd'tëz
absurdity: absé°rditë
absurdly: absé°rdlë
absurdness: absé°rdnes
Abukir: ábükë°r
abulia: 'byü°lë'
abuna: 'bü°n'
abundance: 'bu°nd'ns
abundant: 'bu°nd'nt
abundantly: 'bu°nd'ntlë
abusage: 'byü°sij
abuse/n: 'byü°s; v: 'byü°z
abused: 'byü°zd
abuser: 'byü°z'r
abusers: 'byü°z'rz
abuses: 'byü°siz
abusing: 'byü°ziń
abusive: 'byü°siv
abusively: 'byü°sivlë
abusiveness: 'byü°sivnes
abut: 'bu°t
abutilon: 'byü°t'lon
abutment: 'bu°tm'nt
abuts: 'bu°ts
abuttal: 'bu°t'l
abuttals: 'bu°t'lz
abutted: 'bu°t'd
abutter: 'bu°t'r
abutting: 'bu°tiń
abuzz: 'bu°z
abvolt: abvö°lt
abwatt: abwá°t
aby: 'bï°
Abydos: 'bï°dos
abye: 'bï°
abysm: 'bi°z'm
abysmal: 'bi°zm'l
abysmally: 'bi°zm'lë
abyss: 'bi°s
abyssal: 'bi°s'l
Abyssinia: absi°në'
Abyssinian: absi°në'n
AC: ä°së°
acacia: 'kä°ś'
academe: a°k'dëm
academia: ak'dë°më'
academic: ak'de°mik
academical: ak'de°mik'l
academically: ak'de°miklë
academician: ak'd'mi°ś'n
academicians: ak'd'mi°ś'nz
academicism: ak'de°misiz'm
academics: ak'de°miks
academies: 'ka°d'mëz
academism: 'ka°d'miz'm
academy: 'ka°d'më
Acadia: 'kä°dë'
Acadian: 'kä°dë'n
acaleph: a°k'lef
acalephae:> acalephe
acalephe: a°k'lëf
acantha: oko°nð'
acanthaceous: ak'nþä°ś's
acanthine: 'ka°nþin
acanthocephalan: 'kanþ'se°f'l'n
acanthoid: 'ka°nþoid
acanthopterygian: ak'nþápt'ri°jë'n
acanthous: 'ka°nþ's
acanthus: 'ka°nþ's
acapnia: 'ka°pnë'
acappella: ák'pe°l'
Acapulco: ak'pú°lkö
acariasis: ak'rï°'sis
acaricide: 'ka°risïd
acarid: a°k'rid
acaridan: 'ka°rid'n
acarine: a°k'rïn
acaroid: a°k'roid
acarology: ak'ro°l'jë
acarophobia: a°k'r'fbë'
acarpelous: äká°rp'l's
acarpous: äká°rp's
acarus: a°k'r's
acatalectic: äkat'le°ktik
acaudal: äko°d'l
acaudate: äko°dät
acaulescent: akóle°s'nt
acaulous: äkó°l's
Accad: a°kad
Accadian: 'kä°dë'n
accede: aksë°d
acceded: aksë°did
accedes: aksë°dz
acceding: aksë°diń
accel: 'kse°l
accelerando: aksel'rá°ndö
accelerant: akse°l'r'nt
accelerants: akse°l'r'nts
accelerate: akse°l'rät
accelerated: akse°l'rätid
accelerates: akse°l'räts
accelerating: akse°l'rätiń
acceleration: aksel'rä°ś'n
accelerative: akse°l'rätiv
accelerator: akse°l'rät'r
accelerators: akse°l'rät'rz
acceleratory: akse°l'r'törë
accelerometer: aksel'ro°m't'r
accelerometers: aksel'ro°m't'rz
accent/n: a°ksent; v: akse°nt
accented: a°ksentid
accenting: a°ksentiń
accentor: akse°nt'r
accents: a°ksents
accentual: akse°nćü'l
accentually: akse°nćü'lë
accentuate: akse°nćüät
accentuated: akse°nć'wätid
accentuates: akse°nćüäts
accentuating: akse°nć'wätiń
accentuation: aksenćüä°ś'n
accept: akse°pt
acceptability: 'ksept'bi°litë
acceptable: akse°pt'b'l
acceptably: akse°pt'blë
acceptance: akse°pt'ns
acceptances: akse°pt'nsiz
acceptancy: akse°pt'nsë
acceptant: akse°pt'nt
acceptation: akseptä°ś'n
accepted: akse°ptid
acceptedly: akse°ptidlë
acceptee: a°kseptë°
accepter: akse°pt'r
accepting: akse°ptiń
acceptor: akse°pt'r
accepts: akse°pts
access: a°kses
accessed: a°ksest
accessibility: akses'bi°litë
accessible: akse°s'b'l
accessing: a°ksesiń
accession: akse°ś'n
accessorial: aksisö°rë'l
accessories: akse°s'rëz
accessorise:> accessorize
accessorised:> accessorized
accessorize: akse°s'rïz
accessorized: akse°s'rïzd
accessory: akse°s'rë
acciaccatura: áćák'tú°r'
accidence: a°ksid'ns
accident: a°ksid'nt
accidental: akside°nt'l
accidentalism: akside°nt'liz'm
accidentally: akside°nt'lë
accidents: a°ks'd'nts
accidie: a°ksidë
accipiter: aksi°pit'r
accipitrine: aksi°pitrin
acclaim: 'klä°m
acclaimed: 'klä°md
acclaiming: 'klä°miń
acclaims: 'klä°mz
acclamation: akl'mä°ś'n
acclamatory: 'kla°m'törë
acclimate: a°kl'mät
acclimated: a°kl'mätid
acclimation: akl'mä°ś'n
acclimatise:> acclimatize
acclimatize: 'klï°m'tïz
acclivity: 'kli°vitë
acclivous: 'klï°v's
accolade: a°k'läd
accoladed: ak'lä°did
accolades: a°k'lädz
accommodate: 'ko°m'dät
accommodated: 'ko°m'dät'd
accommodates: 'ko°m'däts
accommodating: 'ko°m'dätiń
accommodatingly: 'ko°m'dätińlë
accommodation: 'kom'dä°ś'n
accommodations: 'kom'dä°ś'nz
accommodative: 'ko°m'dätiv
accommodativeness: 'ko°m'dätivnes
accompanied: 'ku°mp'nëd
accompanies: 'ku°mp'nëz
accompaniment: 'ku°mpnim'nt
accompaniments: 'ku°mpnim'nts
accompanist: 'ku°mp'nist
accompany: 'ku°mp'në
accompanying: 'ku°mp'nëiń
accompanyist: 'ku°mp'nëist
accomplice: 'ko°mplis
accomplices: 'ko°mpl's'z
accomplish: 'ko°mpliś
accomplished: 'ko°mpliśt
accomplishes: 'ko°mpliśiz
accomplishing: 'ko°mpliśiń
accomplishment: 'ko°mpliśment
accomplishments: 'ko°mpliśm'nts
accompt: 'kaú°nt
accord: 'kó°rd
accordance: 'kó°rd'ns
accordant: 'kó°rd'nt
accordantly: 'kó°rd'ntlë
accorded: 'kó°rdid
according: 'kó°rdiń
accordingly: 'kó°rdińlë
accordion: 'kó°rdë'n
accordions: 'kó°rdë'nz
accords: 'kó°rdz
accost: 'kó°st
accosted: 'ko°st'd
accosting: 'ko°stiń
accouchement: aküśmá°ń
accoucheur: aküśé°r
accoucheuse: aküśé°z
account: 'kaú°nt
accountability: 'kaú°nt'bilitë
accountable: 'kaú°nt'b'l
accountableness: 'kaú°nt'b'lnes
accountancy: 'kaú°nt'nsë
accountant: 'kaú°nt'nt
accountants: 'kaú°nt'nts
accounted: 'kaú°nt'd
accounting: 'kaú°ntiń
accounts: 'kaú°nts
accouplement: 'ku°p'lm'nt
accouter: 'kü°t'r
accouterment: 'kü°t'rm'nt
accouterments: 'kü°t'rm'nts
accoutre:> accouter
accoutrement:> accouterment
accoutrements:> accouterments
Accra: a°kr'
accredit: 'kre°dit
accreditation: 'kred'tä°ś'n
accreditations: 'kred'dä°ś'nz
accredited: 'kre°ditid
accrediting: 'kre°d'tiń
accrescent: 'kre°s'nt
accrete: 'krë°t
accreted: 'krë°tid
accretion: 'krë°ś'n
accroach: 'krö°ć
accrual: 'krü°'l
accruals: 'krü°'lz
accrue: 'krü°
accrued: 'krü°d
accrues: 'krü°z
accruing: 'krü°iń
acculturate: 'ku°lć'rät
acculturation: 'kulć'rä°ś'n
acculturize: 'ku°lć'rïz
accumbent: 'ku°mb'nt
accumulate: 'kyü°my'lät
accumulated: 'kyü°my'lätid
accumulates: 'kyü°my'läts
accumulating: 'kyü°my'lätiń
accumulation: 'kyümy'lä°ś'n
accumulations: 'kyümy'lä°ś'nz
accumulative: 'kyü°my'lätiv
accumulatively: 'kyü°my'lätivlë
accumulativeness: 'kyü°my'lätivnes
accumulator: 'kyü°my'lät'r
accumulators: 'kyü°my'lät'rz
accuracies: a°ky'r'sëz
accuracy: a°ky'r'së
accurate: a°ky'r't
accurately: a°ky'r'tlë
accurateness: a°ky'ritnes
accursed: 'ké°rsid
accursedly: 'ké°rsidlë
accusal: 'kyü°z'l
accusation: akyüzä°ś'n
accusations: akyüzä°ś'nz
accusatival: 'kyüz'tï°v'l
accusative: 'kyü°z'tiv
accusatively: 'kyü°z'tivlë
accusatorial: 'kyüz'tö°rë'l
accusatorially: 'kyüz'tö°rë'lë
accusatory: 'kyü°z'tórë
accuse: 'kyü°z
accused: 'kyü°zd
accuser: 'kyü°z'r
accusers: 'kyü°z'rz
accuses: 'kyü°ziz
accusing: 'kyü°ziń
accusingly: 'kyü°zińlë
accustom: 'ku°st'm
accustomed: 'ku°st'md
accustomedness: 'ku°st'mdnes
Accutane: a°kyütän
ace: ä°s
aced: ä°st
acedia: 'së°dë'
Aceldama: 'se°ld'm'
acellular: äse°lyúl'r
acentric: äse°ntrik
acephalous: äse°f'l's
acequia: 'sä°ky'
Acer: ä°s'r
acerate: a°s'rä°t
acerb: 'sé°rb
acerbate/aj: 'sé°rbit; v: a°s'rbät
acerbic: 'se°rbik
acerbity: 'sé°rbitë
acerose: a°s'rös
acerous: äsë°r's
acervate: 'sé°rvit
acervately: 'sé°rvitlë
acervulus: 'sé°rvy'l's
aces: ä°siz
acescent: 'se°s'nt
acetabulum: asita°by'l'm
acetal: a°sital
acetaldehyde: asita°ld'hïd
acetamid: asita°mid
acetamide: asita°mïd
acetaminophen: ásëtámi°nöf'n
acetanilid: asita°n'lid
acetanilide: asita°n'lïd
acetate: a°s'tät
acetazolamide: asit'zö°l'mïd
acetic: 'së°tik
acetify: 'se°t'fï
acetin: a°sitin
acetometer: asito°mit'r
acetone: a°s'tön
acetonic: asito°nik
acetonitrile: asitönï°tril
acetophenetidin: asitöf'ne°tidin
acetose: a°sitös
acetous: a°sit's
acetum: 'së°t'm
acetyl: 'së°t'l
acetylate: 'se°t'lät
acetylcholine: 'sët'lkö°lën
acetylene: 'se°t'lën
acetylenic: 'set'le°nik
acetylic: asiti°lik
acetylide: 'se°t'lïd
Acevedo: as'vä°dö
Achaea: 'kë°'
Achaean: 'ćë°'n
Achaemenian: ak'më°në'n
Achaemenid: 'kë°m'nid
Achaian: 'kä°'n
achalasia: ak'lä°ź'
Achates: 'kä°tëz
ache: ä°k
Achebe: oćä°bë
ached: ä°kt
Achelous: ak'lö°'s
achene: äkë°n
achenial: äke°në'l
Achernar: ä°k'rnár
Acheron: a°k'ron
aches: ä°ks
Acheson: a°ć's'n
Acheulean: 'śü°lë'n
Acheulian: 'śü°lë'n
achievable: 'ćë°v'b'l
achieve: 'ćë°v
achieved: 'ćë°vd
achievement: 'ćë°vm'nt
achievements: 'ćë°vm'nts
achiever: 'ćë°v'r
achievers: 'ćë°v'rz
achieves: 'ćë°vz
achieving: 'ćë°viń
achillea: akilë°'
Achillean: ak'lë°'n
Achilles: 'ki°lëz
achimenes: 'ki°m'nëz
aching: ä°kiń
achingly: ä°kińlë
achiral: äkï°'r'l
Achitophel: 'ki°t'fel
achkan: a°ćk'n
achlamydeous: akl'mi°dë's
achlorhydria: äklörhï°drë'
acholia: äkö°lë'
achondrite: äká°ndrït
achondritic: äkándri°tik
achondroplasia: äkándr'plä°ź'
achondroplastic: äkándr'pla°stik
achromat: a°kr'mat
achromatic: akr'ma°tik
achromaticity: akröm'ti°sitë
achromatin: äkrö°m'tin
achromatise:> achromatize
achromatism: äkrö°m'tiz'm
achromatize: äkrö°m'tïz
achromatous: äkrö°m't's
achromic: äkrö°mik
Achromycin: akrömï°sin
achy: ä°kë
acicula: 'si°ky'l'
acicular: 'si°ky'l'r
aciculate: 'si°ky'lit
aciculum: 'si°ky'l'm
acid: a°sid
acidaemia:> acidemia
acidanthera: asida°nþ'r'
acidemia: asidë°më'
acidic: 'si°dik
acidification: 'sid'f'kä°ś'n
acidified: 'si°d'fïd
acidifies: 'si°d'fïz
acidify: 'si°d'fï
acidimeter: asidi°mit'r
acidimetric: asid'me°trik
acidimetry: asidi°mitrë
acidity: 'si°ditë
acidly: a°sidlë
acidophil: a°sidöfil
acidophile: a°sidöfïl
acidophilic: asidöfi°lik
acidosis: asidö°sis
acidotic: asido°tik
acids: a°s'dz
acidulant: 'si°j'l'nt
acidulate: 'si°j'lät
acidulent: 'si°j'l'nt
acidulous: 'si°j'l's
aciduria: as'dú°rë'
acidy: a°sidë
acierate: a°së'rät
aciform: a°s'fórm
acinaceous: as'nä°ś's
acinaciform: as'na°s'fórm
acinic: 'si°nik
aciniform: 'si°n'fórm
acinose: a°s'nös
acinous: a°s'n's
acinus: a°s'n's
Acis: ä°sis
acknowledge: akno°lij
acknowledgeable: akno°lij'b'l
acknowledged: akno°lijd
acknowledgement:> acknowledgment
acknowledges: akno°lijiz
acknowledging: akno°lijiń
acknowledgment: akno°lijm'nt
acmatic: akma°tik
acme: a°kmë
acmite: a°kmït
acne: a°knë
acnode: a°knöd
acock: 'ko°k
acockbill: 'ko°kbil
acoelomate: äsë°l'mät
acoelous: äsë°l's
acoemeti: ákë°mëtë
acold: 'kö°ld
acolyte: a°k'lït
acolytes: a°k'lïts
Aconcagua: ákönká°gwá
aconite: a°k'nït
aconitic: ak'ni°tik
aconitine: 'ko°nitën
acorn: ä°kórn
acorns: ä°kórnz
acosmism: äko°zmiz'm
Acosta: 'kó°st'
acotyledon: äkot'lë°d'n
acoustic: 'kü°stik
acoustical: 'kü°stik'l
acoustically: 'kü°stiklë
acoustician: akústi°ś'n
acoustics: 'kü°stiks
acquaint: 'kwä°nt
acquaintance: 'kwä°nt'ns
acquaintances: 'kwä°nt'nsiz
acquaintanceship: 'kwä°nt'nsśip
acquainted: 'kwä°ntid
acquest: 'kwe°st
acquiesce: akwëe°s
acquiesced: akwëe°st
acquiescence: akwëe°s'ns
acquiescent: akwëe°s'nt
acquiescing: akwëe°siń
acquire: 'kwï°'r
acquired: 'kwï°'rd
acquirement: 'kwï°'rm'nt
acquirer: 'kwï°'r'r
acquirers: 'kwï°'r'rz
acquires: 'kwï°'rz
acquiring: 'kwï°riń
acquisition: akwizi°ś'n
acquisitions: akw'zi°ś'nz
acquisitive: 'kwi°zitiv
acquisitively: 'kwi°zitivlë
acquisitiveness: 'kwi°zitivnes
acquit: 'kwi°t
acquits: 'kwi°ts
acquittal: 'kwi°t'l
acquittals: 'kwi°t'lz
acquittance: 'kwi°t'ns
acquitted: 'kwi°t'd
acquitting: 'kwi°tiń
acre: ä°k'r
acreage: ä°k'rij
acred: ä°k'rd
acres: ä°k'rz
acrid: a°krid
acridine: a°kridën
acridity: 'kri°ditë
acridly: a°kridlë
acridness: a°kridnes
acriflavine: akr'flä°vin
Acrilan: a°kr'lan
acrimonious: akr'mö°në's
acrimoniously: akr'mö°në'slë
acrimoniousness: akr'mö°në'snes
acrimony: a°krimönë
acrobat: a°kr'bat
acrobatic: akr'ba°tik
acrobatically: akr'ba°tik'lë
acrobatics: akr'ba°tiks
acrobats: a°kr'bats
acrocarpous: akr'ká°rp's
acrocephalic: akrös'fa°lik
acrocephaly: akr'se°f'lë
acrodont: a°kr'dont
acrodrome: a°kr'dröm
acrogen: a°kr'j'n
acrogenous: 'kro°j'n's
acrogenously: 'kro°j'n'slë
acrolein: a°krölën
acrolith: a°kr'liþ
acromegalic: akröm'ga°lik
acromegaly: akr'me°g'lë
acromion: 'krö°më'n
acron: a°kron
acronal: a°kr'n'l
acronical: 'kro°nik'l
acronym: a°kr'nim
acronymous: 'kro°n'm's
acronyms: a°kr'nimz
acropetal: 'kro°pit'l
acropetally: 'kro°pit'lë
acrophobia: akr'fö°bë'
acrophonetic: akr'f'ne°tik
acrophony: 'kro°f'në
Acropolis: 'kro°p'lis
acrospire: a°kr'spï'r
across: 'kró°s
acrostic: 'kro°stik
acroter: a°kr't'r
acroterion: akr'të°rëán
acroterium: akr'të°rë'm
acrotic: 'kro°tik
acrotism: a°kr'tiz'm
Acrux: ä°kr'ks
acrylate: a°kr'lät
acrylic: 'kri°lik
acrylics: 'kri°liks
acrylonitrile: akr'lönï°tril
acrylyl: a°kr'lil
act: a°kt
acta: a°kt'
actable: a°kt'b'l
Actaeon: aktë°'n
acted: a°kt'd
actin: a°kt'n
actinal: a°kt'n'l
actinally: a°kt'n'lë
acting: a°ktiń
actinia: akti°në'
actinian: akti°në'n
actinic: akti°nik
actinide: a°ktinïd
actiniform: akti°n'fórm
actinism: a°kt'niz'm
actinium: akti°në'm
actinobacillosis: akt'nöbas'lö°sis
actinobacillus: akt'nöb'si°l's
actinochemistry: akt'nöke°mistrë
actinoid: a°kt'noid
actinolite: akti°n'lït
actinology: akt'no°l'jë
actinometer: akt'no°mit'r
actinometric: akt'nöme°trik
actinomorphic: akt'nömó°rfik
actinomyces: akt'nömï°sëz
actinomycete: akt'nömïsë°t
actinomycosis: akti°nömï°kö°sis
actinomycotic: akt'nömïko°tik
actinon: a°kt'non
actinopod: akti°n'pád
actinotherapy: akt'nöþe°r'pë
actinouranium: akt'nöyúrä°në'm
actinozoan: akt'n'zö°'n
action: a°kś'n
actionable: a°kś'n'b'l
actions: a°kś'nz
Actium: a°ktë'm
Activase: a°ktiväz
activate: a°kt'vät
activated: a°ktivätid
activates: a°kt'väts
activating: a°kt'vätiń
activation: akt'vä°ś'n
activator: a°kt'vät'r
active: a°ktiv
actively: a°ktivlë
actives: a°ktivz
activism: a°ktiviz'm
activist: a°ktivist
activists: a°ktivists
activities: akti°vitëz
activity: akti°vitë
activize: a°kt'vïz
actomyosin: akt'mï°'sin
Acton: a°kt'n
actor: a°kt'r
actors: a°kt'rz
actress: a°ktr's
actresses: a°ktr'siz
acts: a°kts
actual: a°kćü'l
actualise:> actualize
actuality: akćüa°litë
actualize: a°kćü'lïz
actually: a°kćü'lë
actuarial: akćüä°rë'l
actuarially: akćüä°rë'lë
actuaries: a°kćüe°rëz
actuary: a°kćüe°rë
actuate: a°kćüä°t
actuator: a°ktyüät'r
actuators: a°ktyüät'rz
acuate: a°kyüit
Acuff: 'ku°f
acuity: 'kyü°itë
aculeate: 'kyü°lëit
aculeus: 'kyü°lë's
acumen: 'kyü°m'n
acuminate/aj: 'kyü°m'nit; v: 'kyü°m'nät
acuminous: 'kyü°m'n's
