Word,POS,Vowel
ligamentous,,e
limonitic,,e
Longobardi,,e
lymphoblastic,,e
Magdalenian,,e
malacology,,e
manifestation,,e
marketability,,e
masochistic,,e
Massachusetts,,a
mechanistic,,e
medicamental,,e
melanitic,,e
melodramatist,,e
melodramatize,,e
menopausal,,e
mesodermal,,e
mesomorphic,,e
metaphorical,,e
methodology,,e
metonymical,,e
metonymic,,e
millionaire,,e
monologic,,e
monopolistic,,e
monosomic,,e
monostichous,,e
moralistic,,e
mountaineer,,e
musketeer,,i
mutagenic,,e
mystagogic,,e
nationalistic,,e
naturalistic,,e
naturopathic,,e
negativity,,e
oceanarium,,e
oceanographer,,e
oceanography,,e
octantal,,e
oesophageal,,a
officialese,,e
oligopolistic,,e
oratorian,,e
ordination,,e
organismic,,e
organology,,e
ornamental,,e
orotundity,,e
orthogonality,,e
ostracodan,,e
otocystic,,e
palatability,,e
paraboloidal,,e
paradoxical,,e
paraffinic,,e
paragraphic,,e
Paraguayan,,e
paranoea,,e
paranoiac,,e
paranoia,,e
parasitic,,e
parodistic,,e
paternalistic,,e
pathogenic,,e
pedagogical,,e
pedagogic,,e
periphrastic,,i
personality,,e
phalansterian,,e
phenotypic,,e
phonolitic,,e
phonotypic,,e
photogenic,,e
phreatophytic,,e
picolinic,,e
piscatorial,,e
plutocratic,,e
privateer,,e
probability,,e
pyramidical,,e
pyramidion,,e
pyrogenic,,e
quatorze,,a
questionnaire,,e
Rajasthani,,e
Reaganomic,,e
recital,,e
reflexology,,e
relativity,,e
remoulade,,o
retrospective,,e
rhetorical,,e
Sabbatarian,,e
sacramental,,e
saltatorial,,e
Samothracian,,e
satanology,,e
scarabaeid,,e
scarabaeoid,,e
schizophrenia,,o
schizophrenic,,o
sclerophyllous,,e
seasonality,,e
senatorial,,e
sensationalistic,,e
sialagogic,,e
Singaporean,,e
siphonophorous,,e
sloganeer,,e
sociability,,e
socialistic,,e
sociologistic,,e
Solomonic,,e
Sophoclean,,e
specialistic,,e
spectroscopic,,e
spirographic,,e
sporocystic,,e
staurolitic,,e
subrogation,,e
substantival,,e
surrogation,,e
syncopation,,e
synonymity,,e
tachistoscopic,,e
technocratic,,e
telamones,,e
telescopic,,e
teleutosporic,,e
temperamental,,e
testamentary,,e
theodolitic,,e
toponymic,,e
Torricelli,,i
tourmalinic,,e
trypanosomic,,e
urbanistic,,e
urethroscopic,,e
ventilation,,e
versatility,,e
vigilante,,e
violation,,e
volatility,,e
vulcanology,,e
warrantee,,e
weaponeer,,e
xenodiagnosis,,e
xenodiagnostic,,e
xenophobic,,e
