Traditional,POS,Redirect,Lytspel
abettor,,,a'beter
abeyance,,,a'bayenss
abeyant,,,a'bayent
abfarad,,,ab'farrad
abhenry,,,ab'henri
abhominable,,,ab'hominebl
abhor,,,ab'hoar
abhorred,,,ab'hoard
abhorrence,,,ab'horrenss
abhorrent,,,ab'horrent
abhorrently,,,ab'horrentli
abhors,,,ab'hoars
Abib,,,Abib
abidance,,,abidenss
abide,,,a'byd
abides,,,a'byds
abiding,,,a'byding
abidingly,,,a'bydingli
Abidjan,,,Abijen
abigail,,,abigail
Abilene,,,Abileen
abilities,,,a'biletees
ability,,,a'biliti
Abingdon,,,Abingden
abiogenesis,,,abioa'jeniciss
abiogenetic,,,abioaj'netic
abiogenist,,,abioajnist
abiosis,,,abi'oaciss
abiotic,,,abi'otic
abirritant,,,aberitent
abirritate,,,a'biritait
abject,,,abject
abjection,,,ab'jection
abjectly,,,abjectli
abjunction,,,ab'junction
abjuration,,,abjiu'raition
abjure,,,ab'jiur
Abkhazian,,,Ab'casian
Abkhazians,,,Ab'casians
ablate,,,ab'lait
ablation,,,ab'laition
ablatival,,,ablaitivel
ablative,,,abletiv
ablaut,,,ablout
ablaze,,,a'blais
able,,,aibl
abled,,,aibeld
ablegate,,,ablegait
ablepsia,,,a'blepsia
abler,,,aibler
ables,,,aibels
ablest,,,aiblest
ablins,,,a'blins
abloom,,,a'bluum
abluent,,,abluant
ablush,,,a'blush
ablution,,,a'bluution
ably,,,aibli
abmho,,,abmo
abnegate,,,abnegait
abnegation,,,abni'gaition
Abner,,,Abner
abnormal,,,ab'noarmel
abnormalities,,,abnoar'malitees
abnormality,,,abnoar'maliti
abnormally,,,ab'noarmeli
abnormity,,,ab'noarmiti
abo,,,abo
aboard,,,a'board
abode,,,a'boad
abohm,,,a'boem
abolish,,,a'bolish
abolished,,,a'bolisht
abolishes,,,a'bolishis
abolishing,,,a'bolishing
abolition,,,abo'lition
abolitionism,,,abo'lishenism
abolitionist,,,abo'lishenist
abolitionists,,,abo'lishenists
abolla,,,a'bola
abollae,,,a'boli
abomasum,,,a'bomassum
abomasus,,,a'bomassuss
abominable,,,a'bominebl
abominableness,,,a'bominebelness
abominate,,,a'bominait
abomination,,,abomi'naition
aboon,,,a'buun
aboral,,,a'boarel
aboriginal,,,abe'rijinel
aboriginally,,,abe'rijineli
aborigine,,,abe'rijeni
aborigines,,,abe'rijenees
aborning,,,a'borning
abort,,,a'bort
aborted,,,a'borted
aborticide,,,a'borticyd
abortifacient,,,a'bortifaishent
abortifacients,,,a'bortifaishents
aborting,,,a'borting
abortion,,,a'bortion
abortionist,,,a'borshenist
abortionists,,,a'borshenists
abortions,,,a'borshens
abortive,,,a'bortiv
abortively,,,a'bortivli
aborts,,,a'borts
abortus,,,a'bortuss
abought,,,a'bot
aboulia,,,a'buulia
abound,,,a'bound
abounded,,,a'bounded
abounding,,,a'bounding
abounds,,,a'bounds
about,,,a'bout
above,,,a'buv
aboveboard,,,abuv'board
aboveground,,,abuv'ground
abracadabra,,,abreca'dabra
abradant,,,a'bradent
abrade,,,a'braid
Abraham,,,Aibreham
abram,,,aibram
Abrams,,,Aibrams
abranchial,,,a'brankial
abranchiate,,,a'brankiait
abrasion,,,a'braision
abrasions,,,a'braizhens
abrasive,,,a'braiciv
abrasives,,,a'braicivs
abraxas,,,a'braxess
abrazo,,,a'braaso
abreact,,,abri'act
abreaction,,,abri'action
abreast,,,a'brest
abri,,,a'bree
abridge,,,a'brij
abridged,,,a'brijd
abridgement,,abridgment
abridges,,,a'brijes
abridging,,,a'brijing
abridgment,,,a'brijment
abris,,,a'briss
abroach,,,a'broach
abroad,,,a'braud
abrogable,,,abregebl
abrogate,,,abregait
abrogated,,,abregaited
abrogating,,,abregaiting
abrogation,,,abro'gaition
abrupt,,,a'brupt
abruption,,,a'bruption
abruptly,,,a'bruptli
abruptness,,,a'bruptness
Abruzzi,,,A'bruusi
abs,,,abs
Absalom,,,Abselem
abscess,,,absess
abscind,,,ab'sind
abscise,,,ab'sys
abscissa,,,ab'sissa
abscission,,,ab'sision
abscond,,,ab'scond
absconded,,,ab'sconded
absconding,,,ab'sconding
absconds,,,ab'sconds
abseil,,,absail
absence,,,absenss
absences,,,absenses
absent,aj,,absent
absent,v,,ab'sent
absentee,,,absen'tee
absenteeism,,,absen'teeism
absentees,,,absen'tees
absently,,,absentli
absentminded,,,absent'mynded
absinth,,absinthe
absinthe,,,absinth
absinthism,,,absinthism
absolute,,,abseluut
absolutely,,,abso'luutli
absoluteness,,,abseluutness
absolutes,,,abseluuts
absolution,,,abso'luution
absolutism,,,abseluutism
absolutist,,,abseluutist
absolutory,,,abseluuteri
absolve,,,ab'solv
absolved,,,ab'solvd
absolves,,,ab'solvs
absolving,,,ab'solving
absonant,,,absenent
absorb,,,ab'soarb
absorbance,,,ab'soarbenss
absorbed,,,ab'soarbd
absorbedly,,,ab'soarbidli
absorbedness,,,ab'soarbdness
absorbefacient,,,absoarbe'faishent
absorbency,,,ab'soarbensi
absorbent,,,ab'soarbent
absorber,,,ab'soarber
absorbers,,,ab'soarbers
absorbing,,,ab'soarbing
absorbs,,,ab'soarbs
absorptance,,,ab'soarptenss
absorptiometer,,,absoarpti'omiter
absorption,,,ab'soarption
absorptivity,,,absoarp'tiviti
abstain,,,ab'stain
abstained,,,ab'staind
abstainer,,,ab'stainer
abstaining,,,ab'staining
abstemious,,,ab'steemiass
abstemiously,,,ab'steemiasli
abstemiousness,,,ab'steemiasness
abstention,,,ab'stention
abstentions,,,ab'stenshens
absterge,,,ab'sturj
abstergent,,,ab'sturjent
abstersion,,,ab'stursion
abstersive,,,ab'stursiv
abstinence,,,abstinenss
abstinency,,,abstinensi
abstinent,,,abstinent
abstract,aj,,abstract
abstract,n,,abstract
abstract,v,,ab'stract
abstracted,,,abstractid
abstractedly,,,ab'stractidli
abstractedness,,,ab'stractedness
abstraction,,,ab'straction
abstractionism,,,ab'stracshenism
abstractionist,,,ab'stracshenist
abstractions,,,ab'stracshens
abstractive,,,ab'stractiv
abstractively,,,ab'stractivli
abstractly,,,abstractli
abstractor,,,ab'stracter
abstracts,,,abstracts
abstriction,,,ab'striction
abstruse,,,ab'struuss
abstrusely,,,ab'struusli
abstruseness,,,ab'struusness
absurd,,,ab'surd
absurdist,,,ab'surdist
absurdities,,,ab'surditees
absurdity,,,ab'surditi
absurdly,,,ab'surdli
absurdness,,,ab'surdness
Abukir,,,A'biukeer
abulia,,,a'biulia
abuna,,,a'buuna
abundance,,,a'bundenss
abundant,,,a'bundent
abundantly,,,a'bundentli
abusage,,,a'biucij
abuse,n,,a'biuss
abuse,v,,a'bius
abused,,,a'biusd
abuser,,,a'biuser
abusers,,,a'biusers
abuses,,,a'biuces
abusing,,,a'biusing
abusive,,,a'biuciv
abusively,,,a'biucivli
abusiveness,,,a'biucivness
abut,,,a'but
abutilon,,,a'biutilen
abutment,,,a'butment
abuts,,,a'buts
abuttal,,,a'butl
abuttals,,,a'butels
abutted,,,a'buted
abutter,,,a'buter
abutting,,,a'buting
abuzz,,,a'bus
abvolt,,,ab'voalt
abwatt,,,ab'waat
aby,,,a'by
Abydos,,,A'bydoss
abye,,,a'by
abysm,,,a'bism
abysmal,,,a'bismel
abysmally,,,a'bismeli
abyss,,,a'biss
abyssal,,,a'bissl
Abyssinia,,,Ab'sinia
Abyssinian,,,Ab'sinian
ac,,,ai'cee
acacia,,,a'caisha
academe,,,a'cademi
academia,,,aca'deemia
academic,,,aca'demic
academical,,,aca'demicl
academically,,,aca'demicli
academician,,,akede'mition
academicians,,,akede'mishens
academicism,,,aca'demicism
academics,,,aca'demix
academies,,,a'cademis
academism,,,a'cademism
academy,,,a'cademi
Acadia,,,A'caidia
Acadian,,,A'caidian
acaleph,,,a'calef
acalephae,,acalephe
acalephe,,,a'calef
acantha,,,a'cantha
acanthaceous,,,acan'thaishuss
acanthine,,,a'canthin
acanthocephalan,,,a'canthoasfalan
acanthoid,,,a'canthoid
acanthopterygian,,,a'canthepterijen
acanthous,,,a'canthuss
acanthus,,,a'canthuss
acapnia,,,a'capnia
acappella,,,aca'pela
Acapulco,,,Aca'pulco
acariasis,,,a'carriacees
acaricide,,,a'carricyd
acarid,,,akerid
acaridan,,,a'carriden
acarine,,,akeryn
acaroid,,,akeroid
acarology,,,ake'roleji
acarophobia,,,acarro'foabia
acarpelous,,,a'carpeluss
acarpous,,,a'carpuss
acarus,,,a'caruss
acatalectic,,,aicata'lectic
acaudal,,,a'caudl
acaudate,,,a'caudait
acaulescent,,,acau'lecent
acaulous,,,a'cauluss
Accad,,,Acad
Accadian,,,A'caidian
accede,,,a'xeed
acceded,,,a'xeeded
accedes,,,a'xeeds
acceding,,,a'xeeding
accel,,,a'xel
accelerando,,,axele'rando
accelerant,,,a'xelerent
accelerants,,,a'xelerents
accelerate,,,a'xelerait
accelerated,,,a'xeleraited
accelerates,,,a'xeleraits
accelerating,,,a'xeleraiting
acceleration,,,axele'raition
accelerative,,,a'xeleretiv
accelerator,,,a'xeleraiter
accelerators,,,a'xeleraiters
acceleratory,,,a'xelereteri
accelerometer,,,axele'rometer
accelerometers,,,axele'rometers
accent,n,,axent
accent,v,,axent
accented,,,axented
accenting,,,axenting
accentor,,,axentoar
accents,,,axents
accentual,,,a'xenchual
accentually,,,a'xenchuali
accentuate,,,a'xenchuait
accentuated,,,a'xenchuaited
accentuates,,,a'xenchuaits
accentuating,,,a'xenchuaiting
accentuation,,,axenchu'aition
accept,,,a'xept
acceptability,,,axepta'biliti
acceptable,,,a'xeptebl
acceptably,,,a'xeptebli
acceptance,,,a'xeptenss
acceptances,,,a'xeptenses
acceptancy,,,a'xeptensi
acceptant,,,a'xeptent
acceptation,,,axep'taition
accepted,,,a'xepted
acceptedly,,,a'xeptidli
acceptee,,,axep'tee
accepter,,,a'xepter
accepting,,,a'xepting
acceptor,,,a'xepter
accepts,,,a'xepts
access,,,axess
accessed,,,axest
accessibility,,,axeci'biliti
accessible,,,a'xecebl
accessing,,,axecing
accession,,,a'xetion
accessorial,,,axis'soarial
accessories,,,a'xecerees
accessorise,,accessorize
accessorised,,accessorized
accessorize,,,a'xecerys
accessorized,,,a'xeceryzd
accessory,,,a'xeceri
acciaccatura,,,aachaaca'toora
accidence,,,axidenss
accident,,,axident
accidental,,,axi'dentl
accidentalism,,,axi'dentelism
accidentally,,,axi'denteli
accidents,,,axidents
accidie,,,axidi
accipiter,,,a'kipiter
accipitrine,,,a'xipitrin
acclaim,,,a'claim
acclaimed,,,a'claimd
acclaiming,,,a'claiming
acclaims,,,a'claims
acclamation,,,acla'maition
acclamatory,,,a'clameteri
acclimate,,,a'clymet
acclimated,,,a'clymeted
acclimation,,,acli'maition
acclimatise,,acclimatize
acclimatize,,,a'clymatys
acclivity,,,a'cliviti
acclivous,,,a'clivuss
accolade,,,akelaid
accoladed,,,akelaided
accolades,,,akelaids
accommodate,,,a'comedait
accommodated,,,a'comedaited
accommodates,,,a'comedaits
accommodating,,,a'comedaiting
accommodatingly,,,a'comedaitingli
accommodation,,,acomo'daition
accommodations,,,acomo'daishens
accommodative,,,a'comedetiv
accommodativeness,,,a'comedetivness
accompanied,,,a'cumpenid
accompanies,,,a'cumpenis
accompaniment,,,a'cumpaniment
accompaniments,,,a'cumpaniments
accompanist,,,a'cumpanist
accompany,,,a'cumpeni
accompanying,,,a'cumpeniing
accompanyist,,,a'cumpaniist
accomplice,,,a'compliss
accomplices,,,a'complicis
accomplish,,,a'complish
accomplished,,,a'complisht
accomplishes,,,a'complishis
accomplishing,,,a'complishing
accomplishment,,,a'complishment
accomplishments,,,a'complishments
accompt,,,a'compt
accord,,,a'coard
accordance,,,a'coardenss
accordant,,,a'coardent
accordantly,,,a'coardentli
accorded,,,a'coarded
according,,,a'coarding
accordingly,,,a'coardingli
accordion,,,a'coardian
accordions,,,a'coardians
accords,,,a'coards
accost,,,a'cost
accosted,,,a'costed
accosting,,,a'costing
accouchement,,,a'cuushmaan
accoucheur,,,acou'chur
accoucheuse,,,acou'chuus
account,,,a'count
accountability,,,acounta'biliti
accountable,,,a'countebl
accountableness,,,a'countebelness
accountancy,,,a'countensi
accountant,,,a'countent
accountants,,,a'countents
accounted,,,a'counted
accounting,,,a'counting
accounts,,,a'counts
accouplement,,,a'cupliment
accouter,,,a'cuuter
accouterment,,,a'cuuterment
accouterments,,,a'cuuterments
accoutre,,accouter
accoutrement,,accouterment
accoutrements,,accouterments
accra,,,acra
accredit,,,a'credit
accreditation,,,acredi'taition
accreditations,,,acredi'taishens
accredited,,,a'credited
accrediting,,,a'crediting
accrescent,,,a'crecent
accrete,,,a'creet
accreted,,,a'creeted
accretion,,,a'cretion
accroach,,,a'croach
accrual,,,a'crual
accruals,,,a'cruals
accrue,,,a'cru
accrued,,,a'cruud
accrues,,,a'cruus
accruing,,,a'cruing
acculturate,,,a'culcherait
acculturation,,,aculche'raition
acculturize,,,a'culcherys
accumbent,,,a'cumbent
accumulate,,,a'kiumyulait
accumulated,,,a'kiumyulaitid
accumulates,,,a'kiumyulaits
accumulating,,,a'kiumyulaiting
accumulation,,,ekiumyu'laition
accumulations,,,ekiumyu'laishens
accumulative,,,a'kiumyulaitiv
accumulatively,,,a'kiumyulaitivli
accumulativeness,,,a'kiumyulaitivness
accumulator,,,a'kiumyulaiter
accumulators,,,a'kiumyulaiters
accuracies,,,akiurecis
accuracy,,,akiureci
accurate,,,akiuret
accurately,,,akiuretli
accurateness,,,akiuretness
accursed,,,a'cursed
accursedly,,,a'cursidli
accusal,,,a'kiusl
accusation,,,akiu'saition
accusations,,,akiu'saishens
accusatival,,,a'kiusativel
accusative,,,a'kiusetiv
accusatively,,,a'kiusetivli
accusatorial,,,akiusa'toarial
accusatorially,,,akiusa'toariali
accusatory,,,a'kiusetori
accuse,,,a'kius
accused,,,a'kiuzd
accuser,,,a'kiuser
accusers,,,a'kiusers
accuses,,,a'kiuses
accusing,,,a'kiusing
accusingly,,,a'kiusingli
accustom,,,a'custem
accustomed,,,a'custemd
accustomedness,,,a'custemdness
Accutane,,,Akiutain
ace,,,aiss
aced,,,aist
acedia,,,a'ceedia
aceldama,,,a'celdema
acellular,,,a'celyooler
acentric,,,a'centric
acephalous,,,a'cefeluss
acequia,,,a'cequia
acer,,,aicer
acerate,,,ace'rait
acerb,,,assurb
acerbate,aj,,acerbait
acerbate,v,,acerbait
acerbic,,,a'cerrbic
acerbity,,,as'surbiti
acerose,,,aceroass
acerous,,,ai'ceeruss
acervate,,,as'survit
acervately,,,as'survitli
acervulus,,,as'survyuluss
aces,,,aices
acescent,,,a'cecent
acetabulum,,,aci'tabyulum
acetal,,,acital
acetaldehyde,,,aci'taldehyd
acetamid,,,acitamid
acetamide,,,acitamyd
acetaminophen,,,acitaminofen
acetanilid,,,acitanilid
acetanilide,,,acitanilyd
acetate,,,acetait
acetazolamide,,,acitaselamyd
acetic,,,a'ceetic
acetify,,,a'cetefy
acetin,,,acitin
acetometer,,,aci'tomiter
acetone,,,acetoan
acetonic,,,aci'tonic
acetonitrile,,,acitonytryl
acetophenetidin,,,acitofenetidin
acetose,,,acitoas
acetous,,,acituss
acetum,,,acitum
acetyl,,,acityl
acetylate,,,acitilait
acetylcholine,,,acitilkeleen
acetylene,,,a'ceteleen
acetylenic,,,aci'tylnic
acetylic,,,aci'tilic
acetylide,,,acitilyd
Acevedo,,,Aci'veedo
Achaea,,,A'chia
Achaean,,,A'chian
Achaemenian,,,Achee'meenian
Achaemenid,,,A'cheemenid
Achaian,,,A'chayen
achalasia,,,acha'laisia
Achates,,,A'chaits
ache,,,aik
Achebe,,,Aicb
ached,,,aict
Achelous,,,Ake'louss
achene,,,aicn
achenial,,,aicnial
Achernar,,,Aikernar
Acheron,,,Akeron
aches,,,aix
Acheson,,,Achecen
Acheulean,,,A'shuulian
Acheulian,,,A'shuulian
achievable,,,a'cheevebl
achieve,,,a'cheev
achieved,,,a'cheevd
achievement,,,a'cheevment
achievements,,,a'cheevments
achiever,,,a'cheever
achievers,,,a'cheevers
achieves,,,a'cheevs
achieving,,,a'cheeving
achillea,,,a'chilia
Achillean,,,A'chilian
Achilles,,,A'kilees
achimenes,,,a'kimenees
aching,,,aiking
achingly,,,aching'li
achiral,,,a'churel
Achitophel,,,A'chitofl
achkan,,,achken
achlamydeous,,,achla'mydiass
achlorhydria,,,achloar'hydria
acholia,,,a'choalia
achondrite,,,a'chondryt
achondritic,,,achon'dritic
achondroplasia,,,achondro'plaisia
achondroplastic,,,achondro'plastic
achromat,,,acremat
achromatic,,,acro'matic
achromaticity,,,acroama'ticiti
achromatin,,,acroamatin
achromatise,,achromatize
achromatism,,,acroametism
achromatize,,,acroamatys
achromatous,,,acroa'matuss
achromic,,,a'croamic
Achromycin,,,Acroamicin
achy,,,aiki
acicula,,,a'cikyula
acicular,,,a'cikyuler
aciculate,,,a'cikyulit
aciculum,,,a'cikyulum
acid,,,acid
acidaemia,,acidemia
acidanthera,,,a'cidanthera
acidemia,,,aci'deemia
acidic,,,a'cidic
acidification,,,acidifi'caition
acidified,,,a'cidifyd
acidifies,,,a'cidifys
acidify,,,a'cidify
acidimeter,,,aci'dimiter
acidimetric,,,acidi'metric
acidimetry,,,aci'dimetri
acidity,,,a'ciditi
acidly,,,acidli
acidophil,,,acidoafil
acidophile,,,acidoafyl
acidophilic,,,acido'filic
acidosis,,,aci'doaciss
acidotic,,,aci'dotic
acids,,,acids
acidulant,,,a'cijulent
acidulate,,,a'cijulait
acidulent,,,a'cijulent
acidulous,,,a'cijuluss
aciduria,,,aci'diuria
acidy,,,acidi
acierate,,,acierait
aciform,,,aceform
acinaceous,,,aci'naishuss
acinaciform,,,a'cinaciform
acinic,,,a'cinic
aciniform,,,a'ciniform
acinose,,,a'cinoas
acinous,,,acenuss
acinus,,,acenuss
Acis,,,A'ciss
acknowledge,,,ac'nolij
acknowledgeable,,,ac'nolijebl
acknowledged,,,ac'nolijd
acknowledgement,,acknowledgment
acknowledges,,,ac'nolijis
acknowledging,,,ac'nolijing
acknowledgment,,,ac'nolijment
acmatic,,,ac'matic
acme,,,acmi
acmite,,,acmyt
acne,,,acni
acnode,,,acnoad
acock,,,acok
acockbill,,,a'cocbil
acoelomate,,,acoalomait
acoelous,,,acoaluss
acoemeti,,,acoameti
acold,,,acoald
acolyte,,,akelyt
acolytes,,,akelyts
Aconcagua,,,Aconn'cagiua
aconite,,,akenyt
aconitic,,,aco'nitic
aconitine,,,a'coniteen
acorn,,,aicorn
acorns,,,aicorns
acosmism,,,akesemism
Acosta,,,Acosta
acotyledon,,,aicote'leeden
acoustic,,,a'cuustic
acoustical,,,a'cuusticl
acoustically,,,a'cuusticli
acoustician,,,acuus'tition
acoustics,,,a'cuustix
acquaint,,,a'quaint
acquaintance,,,a'quaintenss
acquaintances,,,a'quaintenses
acquaintanceship,,,a'quaintensship
acquainted,,,a'quainted
acquest,,,a'quest
acquiesce,,,aqui'ess
acquiesced,,,aqui'est
acquiescence,,,aqui'ecenss
acquiescent,,,aqui'ecent
acquiescing,,,aqui'ecing
acquire,,,a'quyr
acquired,,,a'quaierd
acquirement,,,a'quaierment
acquirer,,,a'quaierer
acquirers,,,a'quaierers
acquires,,,a'quaiers
acquiring,,,a'quyring
acquisition,,,aqui'sition
acquisitions,,,aqui'sishens
acquisitive,,,a'quisitiv
acquisitively,,,a'quisitivli
acquisitiveness,,,a'quisitivness
acquit,,,a'quit
acquits,,,a'quits
acquittal,,,a'quitl
acquittals,,,a'quitels
acquittance,,,a'quitenss
acquitted,,,a'quited
acquitting,,,a'quiting
acre,,,aiker
acreage,,,aikerij
acred,,,aikerd
acres,,,aikers
acrid,,,acrid
acridine,,,acrideen
acridity,,,a'criditi
acridly,,,acridli
acridness,,,acridness
acriflavine,,,acryflavyn
Acrilan,,,Acrilan
acrimonious,,,acri'moaniass
acrimoniously,,,acri'moaniasli
acrimoniousness,,,acri'moaniasness
acrimony,,,acrimeni
acrobat,,,acrebat
acrobatic,,,acro'batic
acrobatically,,,acro'baticli
acrobatics,,,acro'batix
acrobats,,,acrebats
acrocarpous,,,acro'carpuss
acrocephalic,,,acroace'falic
acrocephaly,,,acro'cefeli
acrodont,,,acredont
acrodrome,,,acredroam
acrogen,,,acrejen
acrogenous,,,a'crojenuss
acrogenously,,,a'crojenusli
acrolein,,,acroaleen
acrolith,,,acrelith
acromegalic,,,acroam'galic
acromegaly,,,acro'megeli
acromion,,,a'croamian
acron,,,acron
acronal,,,acronel
acronical,,,a'cronicl
acronym,,,acrenim
acronymous,,,a'cronimuss
acronyms,,,acrenims
acropetal,,,acroaptl
acropetally,,,acroapteli
acrophobia,,,acro'foabia
acrophonetic,,,acrefo'netic
acrophony,,,a'crofeni
acropolis,,,a'cropeliss
acrospire,,,acrespyr
across,,,a'cross
acrostic,,,a'crostic
acroter,,,acreter
acroterion,,,acroa'teerian
acroterium,,,acro'teeriam
acrotic,,,a'crotic
acrotism,,,acretism
Acrux,,,A'crux
acrylate,,,acrelait
acrylic,,,a'crilic
acrylics,,,a'crilix
acrylonitrile,,,acreloa'nytril
acrylyl,,,acrelil
act,,,act
acta,,,acta
actable,,,actebl
Actaeon,,,Action
acted,,,acted
actin,,,actin
actinal,,,actinel
actinally,,,actineli
acting,,,acting
actinia,,,ac'tinia
actinian,,,ac'tinian
actinic,,,ac'tinic
actinide,,,actinyd
actiniform,,,actiniform
actinism,,,actinism
actinium,,,ac'tiniam
actinobacillosis,,,actinobaci'loaciss
actinobacillus,,,actinobaciluss
actinochemistry,,,actinokimistri
actinoid,,,actinoid
actinolite,,,actinolyt
actinology,,,acti'noleji
actinometer,,,acti'nomiter
actinometric,,,actinoa'metric
actinomorphic,,,actino'moarfic
actinomyces,,,actinomycis
actinomycete,,,actinomyceet
actinomycosis,,,actinomi'coaciss
actinomycotic,,,actinomi'cotic
actinon,,,actinen
actinopod,,,actinopod
actinotherapy,,,actinoathirepi
actinouranium,,,actine'rainiam
actinozoan,,,actinosoan
action,,,action
actionable,,,acshenebl
actions,,,acshens
Actium,,,Actiam
Activase,,,Activais
activate,,,activait
activated,,,activaited
activates,,,activaits
activating,,,activaiting
activation,,,acti'vaition
activator,,,activaiter
active,,,activ
actively,,,activli
actives,,,activs
activism,,,activism
activist,,,activist
activists,,,activists
activities,,,ac'tivitees
activity,,,ac'tiviti
activize,,,activys
actomyosin,,,actemiocin
acton,,,acten
actor,,,acter
actors,,,acters
actress,,,actress
actresses,,,actreces
acts,,,acts
actual,,,acchual
actualise,,actualize
actuality,,,acchu'aliti
actualize,,,acchualys
actually,,,acchuali
actuarial,,,acchu'airial
actuarially,,,acchu'airiali
actuaries,,,acchuerees
actuary,,,acchueri
actuate,,,acchuait
actuator,,,actiuaiter
actuators,,,actiuaiters
acuate,,,akiuit
Acuff,,,A'cuf
acuity,,,a'kiuiti
aculeate,,,a'kiuliit
aculeus,,,a'kiuliass
acumen,,,akiumen
acuminate,aj,,a'kiuminait
acuminate,v,,a'kiuminait
acuminous,,,a'kiuminuss
acupuncture,n,,akiupunccher
acupuncture,v,,akiupunccher
acutance,,,a'kiutenss
acute,,,a'kiut
acutely,,,a'kiutli
acuteness,,,a'kiutness
acyclic,,,a'kyclic
acyclovir,,,a'kycleveer
acyl,,,acil
acylate,,,acelait
acyloin,,,a'ciloin
ad,,,ad
Ada,,,Aida
adactylous,,,a'dactiluss
adage,,,adij
adagial,,,a'daijial
adagietto,,,adaji'eto
adagio,,,a'daajo
Adam,,,Adem
adamant,,,adement
adamantine,,,ada'mantin
adamantly,,,adementli
Adamic,,,A'damic
Adamical,,,A'damicl
Adamite,,,Adamyt
Adamitic,,,Ada'mitic
Adams,,,Adems
adamsite,,,adamzyt
Adan,,,A'dan
Adana,,,A'daana
Adapa,,,A'daapa
adapt,,,a'dapt
adaptability,,,adapta'biliti
adaptable,,,a'daptebl
adaptableness,,,a'daptebelness
adaptation,,,adap'taition
adaptations,,,adap'taishens
adapted,,,a'dapted
adapter,,,a'dapter
adapters,,,a'dapters
adapting,,,a'dapting
adaption,,,a'daption
adaptive,,,a'daptiv
adaptively,,,a'daptivli
adaptiveness,,,a'daptivness
adaptor,,adapter
adaptors,,adapters
adapts,,,a'dapts
Adar,,,A'dar
adarbitrium,,,adar'bitriam
Adas,,,Aides
adaxial,,,a'daxial
add,,,ad
Addams,,,Adems
addax,,,adax
added,,,aded
addend,,,adend
addendum,,,a'dendum
adder,,,ader
Adderley,,,Aderli
addict,n,,adict
addict,v,,adict
