Word,POS,Prefer
Archeozoic,,P
archetypal,,A
archidiaconal,,P
Argentinean,,ArdZ@nt'Ini:@n
argentine,,'ArdZ@nti:n
argot,,'ArgoU
argotic,,Arg'QtIk
argumentation,,P
argument,,P
Arian,,B
Arkhangelsk,,D
armiger,,A
armipotent,,P
Armonk,,'ArmQNk
aromatic,,P
arsenical,,P
arterial,,P
arteriole,,P
arteriovenous,,P
arthropodous,,P
articulatory,,Art'Ikj@l@tori:
Artois,,D
ary,,'e@ri:
asar,,D
ascomycetous,,askQmaIs'i:t@s
Ashkenazim,,P
Ashkenazis,,D
Ashkhabad,,ASk@b'Ad
Asia,,A
Asimov,,B
askant,,P
askari,,'ask@`i:
Asshur,,P
assiduous,,B
assignor,,a#saIn'or
assimilate,,P
assimilative,,@s'ImI#leItIv
Assisi,,P
Assiut,,P
associate,,P
associative,,P
assurance,,@S'Ur@ns
assure,,P
asteria,,P
asteriated,,P
asthenosphere,,asT'En@sfi:r
Astolat,,'ast@lat
astonied,,P
astrakhan,,'astr@kan
asymmetrical,,B
asymmetric,,B
asymmetry,,eIs'ImItri:,
asynchronism,,P
asynchronous,,eIs'INkr@n@s
ataxia,,@t'aksi:@
atelier,,P
Aton,,'At@n
atropine,,P
attaboy,,P
Attlee,,D
Auden,,D
auditory,,A
aurochs,,P
auroral,,O:r'or@l
Austrasia,,A
Austronesia,,A
authoress,,'O:T@`@s
autotroph,,'O:t@#trQf
Avalokitesvara,,P
aver,,@v'3:
avion,,D
avions,,D
awa,,@w'O:
aweary,,@w'i:ri:
ayatollah,,Aj@t'oUl@
azoic,,P
babel,,B
Babelic,,P
baccalaureate,,bak@l'Qri:@t
bacterial,,bakt'i:ri:@l
bacteria,,P
bactericide,,P
bacteriocin,,bakt'i:ri:@sIn
bacterioid,,P
bacteriolytic,,P
bacteriophage,,P
bacteriophagy,,bakti:ri:'Qf@dZi:
bacteriostasis,,P
bacteriostatic,,P
bacteriostat,,P
bacterium,,P
Bahama,,B
Bailly,,D
baklava,,P
baklawa,,P
Bala,,P
balas,,P
Balbo,,D
bald,,B
balk,,A
Balkan,,B
Balkhash,,P
ballade,,P
balm,,B
balsa,,B
balsam,,B
balsamic,,B
balsamiferous,,B
bandeau,,P
Bangladeshi,,B
banian,,P
barbarous,,P
Barbuda,,bArb'U:d@
Barcelona,,P
Baroja,,D
barometrical,,bar@m'EtrIk@l
Barranquilla,,P
barras,,D
barretor,,P
barristerial,,P
Bartholdi,,D
barye,,P
barysphere,,b'ari:sfi@
basalt,,b@s'O:lt
basaltic,,b@s'O:ltIk
Bashan,,P
basidiomycete,,P
basophilia,,beIs@f'Ili:@
basophilic,,beIs@f'IlIk
basophilous,,beIs'Qf@l@s
basophil,,P
bass,,B
Bayern,,D
Bayes,,D
bayou,,b'Aju:
Bayreuth,,b'aIrOIt
BBC,,D
Beatrix,,b'eI@trIks
Beauharnais,,D
Beaumarchais,,D
beckmann,,D
Beecham,,D
Beerbohm,,D
Belarus,,B
bellicosity,,B
bene,,b'i:ni:
benedick,,B
benedict,,B
benedictine,,bEnId'Ikti:n
benediction,,B
beneficence,,P
beneficent,,b@n'EfIS@nt
benes,,D
Bengal,,B
benight,,B
Bentham,,B
benzoic,,P
Berenson,,D
beres,,D
Berkshire,,b'3:kSi@
Bermejo,,bErm'EhoU
bersaglieri,,P
Bertillon,,D
Berwick,,B
bestiality,,bEstSi:'alIti:
bestial,,P
bestiary,,P
bethink,,P
beton,,D
Bhili,,P
bialy,,P
Bianca,,P
Bicol,,P
bicorne,,P
bicornuate,,baIk'O:rnju:It
Biden,,D
bidonville,,D
bien,,D
Bifrost,,P
bifurcate,,b'aIf@`keIt
bigamist,,P
bigamous,,P
bigamy,,P
biga,,P
bigos,,b'i:goUs
Biisk,,bj'i:sk
bijouterie,,P
bijugous,,P
Bikol,,P
billiard,,P
billion,,P
billionth,,P
Bimini,,b'ImI#ni:
bioassay,,baIoUa#s'eI
biographee,,baIQgr@f'i:
biolysis,,baI'QlIsIs
biosis,,baI'oUsIs
bios,,P
biramous,,P
birefringence,,P
biro,,B
Bismarckian,,P
Bismarck,,P
bismuth,,P
Bisutun,,P
bitumen,,bIt'U:m@n
Biysk,,b'i:jsk
bize,,D
Bizet,,P
Bjork,,P
Blagoveshchensk,,P
blanquette,,P
blastomere,,P
blastoporal,,P
blitzkrieg,,P
blotch,,B
blvd,,D
bobak,,D
bodega,,bQd'eIg@
bodhisattva,,boUdI#s'atv@
Boeotia,,P
Bohol,,P
bollard,,P
bolometer,,P
Boltzmann,,D
Bonaparte,,P
Bonaventura,,bQn@vEntS'Ur@
bonnet,,B
boohoo,,P
bordereau,,P
Borgerhout,,P
Borges,,D
Borodino,,D
Boswellian,,bQzw'Eli:@n
botulin,,b'QtS@lIn
botulinus,,bQtS@l'aIn@s
botulism,,b'QtS@lIz@m
Botvinnik,,bQtv'i:nIk
bought,,B
boulevardier,,P
bouquet,,boUk'eI
bourgeois,,bUrZw'A
bourgeoisie,,bUrZwAz'i:
Bourguiba,,D
bourse,,A
bousy,,P
bowline,,b'oUlIn
bowser,,A
bracero,,B
Bracknell,,br'akn@l
Bradbury,,A
Brahe,,P
branchiopod,,br'aNki:@pQd
Braunschweig,,P
Breuer,,D
brobdingnagian,,brQbdINn'agi:@n
brochure,,P
bromic,,P
bronchial,,br'QNki:@l
brontosaurus,,B
Brooklynese,,br'UklIni:z
Brooklynite,,B
brough,,br'Qk
brugh,,D
brut,,P
Bt,,D
Buber,,D
buddhi,,b'u:di:
budgerigar,,P
bueno,,D
buhr,,b'3:
Bukharin,,bu:k'ArIn
Bulawayo,,bu:l@w'eIoU
buna,,b'U:n@
Bundelkhand,,P
Bunin,,P
Bunyan,,D
Buonaparte,,D
buoy,,P
bureaucracy,,B
bureaucratize,,bjUr'Qkr@taIz
burrawang,,P
Bydgoszcz,,P
Byzantium,,B
cabalism,,O
cabaret,,P
cabezone,,k'ab@zoUn
cabezon,,k'ab@zQn
Cadiz,,B
cafe,,P
cafeteria,,P
caffeine,,A
cahier,,P
Cainozoic,,P
cairngorm,,P
calcareous,,P
callan,,k'Al@n
callant,,P
calm,,B
caman,,B
camaron,,P
Cambrai,,P
Cameroon,,kam@`'u:n
Campeche,,P
Campobello,,kamp@b'EloU
Candace,,B
canterbury,,A
cantorial,,A
canzone,,P
ca,,O
Capistrano,,kapIstr'AnoU
capitan,,kapIt'an
capitoline,,k'apIt@laIn
capitulate,,ka#p'ItS@leIt
capitulation,,ka#pItS@l'eIS@n
caple,,P
cappelletti,,kap@l'Eti:
Capricornus,,kaprIk'O:rn@s
carabiniere,,P
carbonic,,kArb'QnIk
carbonylate,,kArb'QnIleIt
carbonyl,,P
carburet,,P
carcinogen,,P
cardon,,P
caressive,,P
Carew,,k@`'u:
caricature,,k'arIk@tS@`
cariogenic,,ke@i:@dZ'EnIk
Carnot,,P
carpellate,,k'Arp@leIt
carpentaria,,kArp@nt'e@ri:@
carpology,,kArp'Ql@dZi:
carse,,A
Cartagena,,P
Carthusian,,A
cartouche,,P
caseation,,P
caseose,,P
Castiglione,,D
catawba,,B
category,,k'at@gori:
catheter,,k'aTIt@`
cathetus,,P
catholic,,k'aT@lIk
Caucasia,,A
cauliflower,,k'O:lI#flaU@`
cauliform,,k'O:lI#fO:rm
Cavell,,D
Cavite,,P
Cayes,,k'eI
Cayuga,,P
cayuse,,P
cc,,D
CDC,,D
cd,,D
CEA,,D
celestial,,P
cellulite,,s'Elj@laIt
celluloid,,s'Elj@lOId
cellulolytic,,P
cellulose,,P
cellulosic,,P
cenozoic,,P
censual,,A
centenary,,sEnt'En@ri:
centistere,,P
centrifugalize,,P
centrifugal,,sEntr'Ifj@g@l
centrifugate,,P
centripetal,,P
centum,,B
cephalometric,,B
ceramist,,s@`'amIst
Ceram,,P
cerargyrite,,P
cerastes,,s@`'asti:z
cerebroside,,B
cerebrospinal,,s@ri:broUsp'aIn@l
cerebrotonia,,sEr@broUt'oUni:@
cereous,,P
ceric,,P
cero,,P
cerous,,P
certificate,,P
Cetinje,,P
cha,,B
chalet,,Sal'eI
Chaoan,,tS'aUAn
chao,,D
charabanc,,P
chara,,D
charas,,P
Charcot,,P
charlatanic,,P
Charleroi,,SArl@`w'A
Charonic,,P
Charon,,P
chastise,,P
chautauqua,,S@t'O:kw@
chauvinistic,,B
Chayefsky,,D
Chechnya,,P
che,,D
Chekhovian,,tSEk'oUvi:@n
Chekhov,,P
chemosmosis,,ki:mQzm'oUsIs
chemosmotic,,ki:mQzm'QtIk
Chemulpo,,tS'Emu:lpoU
Cheremkhovo,,tS@`'Emk@voU
chiastolite,,P
chiaus,,P
Chicagoan,,SIk'AgoU@n
chicalote,,P
chicha,,P
Chilon,,P
chimere,,P
chimerical,,P
Chinkiang,,tS'InkjaN
Chios,,k'aIQs
chiral,,k'aIr@l
chiropodist,,B
chiropody,,B
chirrup,,P
chital,,P
chitinous,,k'aItI#n@s
chitin,,P
chlorofluorocarbon,,kloroUfl'Ur@kArb@n
chlorophyll,,kl'orQfIl
chlorophyllose,,klor@f'Il@s
chlortetracycline,,klortEtr@s'aIklIn
choler,,k'Ql@`
cholesterolemia,,kQlEst@`@l'i:mi:@
choline,,P
cholinesterase,,P
cholla,,P
choreograph,,k'ori:@graf
chorioallantoic,,kori:oU@la#nt'oUIk
choriocarcinoma,,P
christcross,,P
Christendom,,P
christen,,P
christian,,B
christiania,,P
Christianity,,P
Christianization,,P
Christianize,,P
churchward,,tS'3:tSw@`d
ciao,,B
Cimabue,,D
cinematograph,,P
cine,,P
circadian,,B
Circassian,,P
Circassia,,P
circulatory,,s'3:kj@l@tori:
circumference,,s@`k'Vmf@`@ns
circumnavigate,,B
civilian,,P
claes,,B
classicism,,O
classicist,,kl'as#IsIst
classicize,,kl'as#IsaIz
classificatory,,kl@s#'IfIk@tori:
Clausius,,D
clavicular,,kl@v'Ikj@l@`
clearstory,,P
cleidoic,,P
clerestory,,P
cliche,,A
climatal,,P
climate,,P
clinometer,,P
clos,,D
clothier,,P
clough,,D
coaction,,P
coactive,,P
coact,,P
coadjutress,,koU'adZ@tr@s
coadjutrices,,koU'adZ@trIsi:z
coadunate,,P
cobaltic,,koUb'O:ltIk
cobaltine,,D
cobaltite,,koUb'O:ltaIt
cobalt,,k'oUbO:lt,
cobaltous,,koUb'O:lt@s
codicillary,,P
coetaneous,,P
coeval,,P
cognominal,,P
coleoptera,,koUli:'Qpt@`@
coleopteran,,koUli:'Qpt@`@n
collaboration,,kQlab@`'eIS@n
collaborative,,P
collagen,,k'Ql@dZ@n
collate,,P
collative,,P
collectible,,B
collect,v,B
collier,,P
collyrium,,P
colonic,,P
comanchean,,k@m'antSi:@n
comatose,,P
combat,v,P
combe,,P
Comintern,,P
commemorative,,P
commentary,,P
commentative,,k'Qm@nteItIv
commune,v,P
communication,,kQmju:nIk'eIS@n
communicative,,k@mj'u:nIkeItIv
communique,,kQmju:nIk'eI
communitarian,,k@#mju:nIt'e@i:@n
commutate,,k'Qmj@teIt
compact,v,B
compartmental,,kQmpArtm'Ent@l
compassionate,,P
compatibility,,kQmpat@b'IlIti:
compensative,,P
competence,,B
competent,,B
complementarity,,kQmpl@mEnt'arIti:
complementary,,kQmpl@m'Ent@`i:
complicate,aj,k'QmplIkIt
complice,,P
compone,,P
compony,,P
comport,,A
composite,,kQmp'QzIt
compost,,P
compotatory,,k@mp'oUt@tori:
comprador,,P
compressible,,B
CompuServe,,D
computation,,B
comte,,k'O:nt
concave,n,k'QnkeIv
concentrative,,P
conceptualization,,B
conchoidal,,P
conch,,P
conciliative,,P
conciliatory,,A
concordance,,P
concordant,,P
concordat,,P
Concorde,,P
concord,,P
concubinary,,kQnkj'u:bI#nEri:
Condorcet,,D
conductible,,B
confabulatory,,k@nf'abj@l@tori:
configuration,,kQnfIgj@`'eIS@n
configure,,A
conformal,,P
conformance,,P
conformational,,kQnfO:rm'eIS@n@l
conformation,,kQnfO:rm'eIS@n
conformity,,P
conga,,k'QNg@
conge,,P
congratulatory,,k@ngr'atS@l@tori:
congress,v,P
congruous,,P
conifer,,k'oUnIf@`
coniferous,,P
coniology,,koUni:'Ql@dZi:
conjugable,,k'QndZ@g@b@l
conjunctiva,,P
conjuration,,kQndZ@`'eIS@n
connotative,,P
conquest,,O
conscript,v,P
consequence,,B
consequent,,B
consequential,,B
console,v,kQns'oUl
consonantal,,P
constantan,,P
consuetude,,k'QnswItU:d
consuetudinary,,kQnswIt'U:d@nEri:
contactual,,P
conte,,k@nt'eI
continuative,,P
contracted,,A
contractible,,B
contrarian,,kQntr'e@i:@n
contrarious,,P
contribute,,P
contributory,,k@ntr'Ibju:tori:
controversy,,k'QntrQv3:si:
convalesce,,P
conversazione,,D
convolution,,B
convolvulaceous,,k@#nvQlvj@l'eIS@s
convolvulus,,k@nv'Qlvj@l@s
cony,,P
coordinate,,P
coordinative,,P
coparcenary,,P
coraciiform,,kQr@s'aIIfQrm
cordillera,,P
cordoba,,k'O:rdoUb@,
cord,,P
Corinthian,,P
Cornwallis,,P
Coronado,,B
corporal,,P
corporeity,,P
corpuscular,,kO:rp'Vskj@l@`
corruptible,,A
cortine,,kO:rt'i:ni:
corybantes,,kQr@b'anti:z
corybantic,,kQr@'bantIk
corybant,,k'Qr@bant
corymbose,,P
cosey,,P
cosmetologist,,B
cosmetology,,B
costume,v,kQst'U:m
costumier,,kQst'U:mi:@`
cotehardie,,P
cotwal,,P
cotyledon,,P
Couperin,,P
Courbet,,D
Courtrai,,P
covenantal,,P
Craiova,,krAj'O:vA
cranium,,P
crapulous,,kr'apj@l@s
craquelure,,P
creance,,P
credential,,B
crematoria,,P
crematorium,,P
crematory,,kr'i:m@tori:
crenation,,P
Cretan,,P
cretic,,P
Crimea,,P
criminalization,,B
criminative,,kr'ImI#neItIv
crinite,,P
Crispi,,D
cryptonymous,,B
cryptozoic,,P
cullis,,P
curacao,,kjUr@s'oU
curacoa,,kjUr@s'oU
curate,v,B
currawong,,k'Vr@wQN
curtana,,B
cushaw,,k@S'O:
cyanocobalamin,,P
cyanogen,,P
cyanohydrin,,P
cyano,,P
cyanotype,,P
cyan,,s'aIan
cyclonal,,P
Cyrillic,,B
cytogenetics,,P
d'accord,,D
dactylography,,B
dactylology,,B
dactyl,,P
dae,,D
daimen,,P
dali,,D
dalis,,D
dalton,,d'O:lt@n
Daltonian,,dO:lt'oUni:@n,
daltonic,,dO:lt'QnIk
daman,,B
Damaraland,,d@m'Ar@#la#nd
Damien,,D
Danaus,,d'aneI@s
D'Annunzio,,D
da,,O
Daren,,D
Darlan,,D
Darvon,,d'ArvQn
Davao,,dav'aU
davies,,D
Dawes,,D
Dayan,,P
DDT,,D
DEA,,D
Deakin,,D
deaminize,,P
Deana,,P
Deanna,,P
debauchee,,dEbO:tS'i:
debenture,,dIb'EntS@`
Debussyan,,P
Debussy,,dEbju:s'i:
debye,,P
decaffeinate,,dIk'afIneIt
decaffeination,,dIkafIn'eIS@n
decagon,,d'Ek@gQn
decalescence,,dIk@l'Es@ns
decaliter,,P
decani,,P
decantation,,dIkant'eIS@n
decastere,,P
decasyllabic,,P
Deccan,,P
decedent,,B
deceleron,,dIs'El@`Qn
decennial,,B
decidua,,P
deciduate,,P
decigram,,d'EsIgram
decillion,,P
decimation,,B
decinormal,,P
declamatory,,P
declaratory,,P
declinature,,P
declinometer,,P
declivous,,P
decollate,,P
